course_department;course_code;professor;time;course_title;completed;total_entrolled;lab_section_content;clear_and_organized;instructor_established_rapport;coordination_with_lectures;the_course_as_a_whole;instructor_was_accessible;instructor_was_challenging;amount_learned;instructor_feedback;relevance_and_usefulness_of_homework;instuctors_interest;quiz_section_content;instructor_was_knowledgeable;instructors_effectiveness;instructors_contribution;grading_techniques;instructor_overall;effectiveness_of_format;tailoring_instruction_to_skills;textbook_overall;instructor_was_enthusiastic;quiz_section_as_a_whole;procedures_and_skills_taught;the_course_content;the_lab_section_as_a_whole;rotation_and_studio_as_a_whole
AA;198;carl knowlen;au13;Special Topics in Aeronautics and Astronautics;25;25;NULL;NULL;NULL;NULL;4.45;NULL;NULL;4.25;NULL;NULL;4.18;NULL;NULL;4.29;4.76;4.11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.27;NULL;NULL
AA;198;carl knowlen;au14;Special Topics in Aeronautics and Astronautics;24;25;NULL;NULL;NULL;NULL;4.29;NULL;NULL;4.39;NULL;NULL;4.17;NULL;NULL;4.21;4.75;4.54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AA;210;raymond golingo;su14;Engineering Statics;15;37;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.5;NULL;NULL;3.5;NULL;NULL;3.3;3.67;3.64;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.6;NULL;NULL
AA;210;raymond golingo;au14;Engineering Statics;138;197;NULL;NULL;NULL;NULL;3.13;NULL;NULL;3.48;NULL;NULL;3.17;NULL;NULL;2.61;2.93;3.46;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.49;NULL;NULL
AA;210;raymond golingo;au13;Engineering Statics;99;194;NULL;NULL;NULL;NULL;3.41;NULL;NULL;3.55;NULL;NULL;3.6;NULL;NULL;3.15;3.39;3.51;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.57;NULL;NULL
AA;210;raymond golingo;wi14;Engineering Statics;36;185;NULL;NULL;NULL;NULL;3.59;NULL;NULL;3.83;NULL;NULL;3.46;NULL;NULL;3.77;3.93;3.88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.5;NULL;NULL
AA;210;asghar esmaeeli;au13;Engineering Statics;39;58;NULL;NULL;NULL;NULL;3.72;NULL;NULL;3.46;NULL;NULL;4.21;NULL;NULL;3.5;3.85;3.62;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.78;NULL;NULL
AA;210;richard lewis;wi14;Engineering Statics;26;60;NULL;NULL;NULL;NULL;3.68;NULL;NULL;3.72;NULL;NULL;4.63;NULL;NULL;3.0;3.38;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.6;NULL;NULL
AA;210;raymond golingo;au14;Engineering Statics;18;48;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.8;NULL;NULL;3.2;NULL;NULL;3.0;3.67;3.43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.7;NULL;NULL
AA;260;carl knowlen;su14;Thermodynamics;20;28;NULL;NULL;NULL;NULL;4.67;NULL;NULL;4.59;NULL;NULL;4.39;NULL;NULL;4.5;4.59;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
